Citation,Triggering Event,Location,Powers Invoked
10 U.S.C. § 12304,"Terrorism,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"""
10 U.S.C. § 123,"NEA Emergency Declaration,Act of War,Declaration of War",Both,Military Readiness
10 U.S.C. § 123a,"Act of War,Declaration of War,NEA Emergency Declaration",Both,Military Readiness
10 U.S.C. § 527,"Act of War,Declaration of War,NEA Emergency Declaration",Domestic,Military Readiness
10 U.S.C. § 194,"Act of War,Declaration of War,NEA Emergency Declaration",Domestic,Military Readiness
10 U.S.C. § 155,"Act of War,NEA Emergency Declaration,Declaration of War",Both,Military Readiness
10 U.S.C. § 603,"Act of War,NEA Emergency Declaration,Declaration of War",Both,Military Readiness
10 U.S.C. § 620,"NEA Emergency Declaration,Act of War,Declaration of War",Domestic,Military Readiness
10 U.S.C. § 688,"NEA Emergency Declaration,Act of War,Declaration of War",Both,Military Readiness
10 U.S.C. § 690,"Act of War,NEA Emergency Declaration,Declaration of War",Domestic,Military Readiness
10 U.S.C. § 708,"Act of War,NEA Emergency Declaration,Declaration of War",Domestic,Military Readiness
10 U.S.C. § 712,"NEA Emergency Declaration,Declaration of War,Act of War",International,"Military Readiness,""Troop, Uniformed Service, or National Guard Deployment"""
10 U.S.C. § 857,"NEA Emergency Declaration,Act of War,Declaration of War",Domestic,Military Readiness
10 U.S.C. § 1060c,"NEA Emergency Declaration,Declaration of War,Act of War",Domestic,Military Readiness
10 U.S.C. § 2350j,"NEA Emergency Declaration,Act of War,Declaration of War",Both,"Government Contracts,Appropriations - Emergency Response"
14 U.S.C. § 104,"NEA Emergency Declaration,Declaration of War,Act of War",Domestic,"Government Contracts,Military Readiness"
14 U.S.C. § 2127,"NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"""
14 U.S.C. § 2308,"NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"""
14 U.S.C. § 2314,"NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"""
14 U.S.C. § 2779,"NEA Emergency Declaration,Declaration of War,Act of War",Domestic,Provision of Supplies
14 U.S.C. § 3735,"NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"",Military Readiness"
14 U.S.C. § 4903,"NEA Emergency Declaration,Declaration of War,Act of War",Both,"""Troop, Uniformed Service, or National Guard Deployment"",Military Readiness"
42 U.S.C. § 268,No triggering event - Capacity Building,Both,"Regulations on Interstate or Foreign Commerce,Quarantine"
